Dado original,Ameaça,Escala,Ano base,Fonte
Áreas agrícolas,Escoamento de pesticidas e sedimentos,1:250.000,2002,"Cordeiro and Hasenack, 2009"
Áreas agrícolas,Remoção da mata ripária,1:250.000,2002,"Cordeiro and Hasenack, 2009"
Áreas agrícolas,     Aumento da temperatura da água,1:250.000,2002,"Cordeiro and Hasenack, 2009"
Áreas urbanas,Aumento de superfície impermeável,1:250.000,2002,"Cordeiro and Hasenack, 2009"
Áreas urbanas,Canalização ,1:250.000,2002,"Cordeiro and Hasenack, 2009"
Áreas urbanas,Alteração do fluxo,1:250.000,2002,"Cordeiro and Hasenack, 2009"
Áreas urbanas,"Poluentes (esgoto doméstico, hospitalar e industrial)",1:250.000,2002,"Cordeiro and Hasenack, 2009"
Rede viária,Cruzamentos,1:50.000,1976-1984,"Hasenack and Weber, 2010"
Rede viária,   Pontes com culvets ou pontilhões que causam barramento,1:50.000,1976-1984,"Hasenack and Weber, 2010"
Rede viária,   Remoção da mata ripária,1:50.000,1976-1984,"Hasenack and Weber, 2010"
Rede viária,        Aumento da temperatura da água,1:50.000,1976-1984,"Hasenack and Weber, 2010"
Rede viária,Sedimentos,1:50.000,1976-1984,"Hasenack and Weber, 2010"
Mineração,Extração do fundo,Não se aplica.,2015,"DNPM, 2015"
Mineração,Poluição,Não se aplica.,2015,"DNPM, 2015"
Espelhos d'água > 20 ha,Alteração do fluxo,1:50.000,2003-2006,"FUNCEME, 2008"
Espelhos d'água > 20 ha,Barramento,1:50.000,2003-2006,"FUNCEME, 2008"
Efetivo gado,Aumento de nutrientes,Não se aplica.,2006,"IBGE, 2006"
Efetivo gado,Erosão das margens,Não se aplica.,2006,"IBGE, 2006"
Efetivo gado,Sedimentação do fundo,Não se aplica.,2006,"IBGE, 2006"
Efetivo gado,Homogeneização dos sedimento,Não se aplica.,2006,"IBGE, 2006"
