Subunidade regional,MDC,LDC,Intermediárias,Mais Pressionadas,n
CArb-Patos,0,\textbf{3},"56 (8,13\%)","6 (0,87\%)",689
CArb-Uruguai,0,0,"5 (7,35\%)","1 (1,47\%)",68
FE-Patos,0,\textbf{1},"165 (65,22\%)","51 (\textbf{20,16\%})",253
CAre-Uruguai,0,0,"11 (10,89\%)",0,101
CBDB-Patos,0,0,"59 (\textbf{73,75\%})","9 (11,25\%)",80
CBDB-Uruguai,0,0,"229 (50,33\%)","18 (3,96\%)",455
CEsp-Uruguai,0,0,"161 (51,77\%)","19 (6,11\%)",311
CGra-Patos,0,0,"36 (46,75\%)","1 (1,29\%)",77
CGra-Uruguai,0,0,"68 (38,64\%)","10 (5,68\%)",176
CMAC-Uruguai,0,0,"85 (23,10\%)","10 (2,72\%)",368
CMAC-Patos,0,0,"169 (43,67\%)","30 (7,75\%)",387
CMCO-Patos,0,0,"4 (12,12\%)","2 (6,06\%)",33
CSR-Uruguai,0,0,"64 (17,73\%)","7 (1,93\%)",361
Bioma Pampa,0,4,"1113 (33,13\%)","163 (4,85\%)",3359
